Single_Dual_Sampling,Sampling,Pylon,Pylon_side,Treatment,top_bottom,left_right,sample name,taxa,jar + label weight,jar + label + sample weight,sample wet weight
Dual,Start,1,1,Shade,bottom,left,# 1,soft worms,4.0532,5.6161,1.5629
Dual,Start,1,1,Shade,bottom,left,# 1,hard worms,15.7636,19.0588,3.2952
Dual,Start,1,1,Shade,bottom,left,# 1,live oysters,58.0927,67.1983,9.1056
Dual,Start,1,1,Shade,bottom,left,# 1,dead oysters,59.0214,66.6616,7.6402
Dual,Start,1,1,Shade,bottom,left,# 1,other bivalves,0,0,0
Dual,Start,1,1,Shade,bottom,left,# 1,dead barnacles,15.8652,17.8395,1.9743
Dual,Start,1,1,Shade,bottom,left,# 1,live barnacles,0,0,0
Dual,Start,1,1,Shade,bottom,left,# 1,ascidians,58.9592,119.7038,60.7446
Dual,Start,1,1,Shade,bottom,left,# 1,algae,0,0,0
Dual,Start,1,1,Shade,bottom,left,# 1,sponge,0,0,0
Dual,Start,1,1,Shade,bottom,left,# 1,bryozoans,15.9354,16.9976,1.0622
Dual,Start,1,1,Shade,bottom,left,# 1,anemone,0,0,0
Dual,Start,1,1,Shade,bottom,left,# 1,mobile invertebrates,0,0,0
Dual,Start,1,1,Shade,top,right,# 1,soft worms,3.998,4.8027,0.8047
Dual,Start,1,1,Shade,top,right,# 1,hard worms,4.1469,4.5835,0.4366
Dual,Start,1,1,Shade,top,right,# 1,live oysters,15.9456,19.184,3.2384
Dual,Start,1,1,Shade,top,right,# 1,dead oysters,15.8153,17.3695,1.5542
Dual,Start,1,1,Shade,top,right,# 1,other bivalves,0,0,0
Dual,Start,1,1,Shade,top,right,# 1,dead barnacles,4.0851,5.327,1.2419
Dual,Start,1,1,Shade,top,right,# 1,live barnacles,15.8902,19.9234,4.0332
Dual,Start,1,1,Shade,top,right,# 1,ascidians,59.0665,96.183,37.1165
Dual,Start,1,1,Shade,top,right,# 1,algae,0,0,0
Dual,Start,1,1,Shade,top,right,# 1,sponge,4.0788,4.2949,0.2161
Dual,Start,1,1,Shade,top,right,# 1,bryozoans,4.0531,4.4732,0.4201
Dual,Start,1,1,Shade,top,right,# 1,anemone,0,0,0
Dual,Start,1,1,Shade,top,right,# 1,mobile invertebrates,0,0,0
Single,End,1,1,Shade,bottom,right,pylon 1,soft worms,4.0944,9.3845,5.2901
Single,End,1,1,Shade,bottom,right,pylon 1,hard worms,15.7494,30.1322,14.3828
Single,End,1,1,Shade,bottom,right,pylon 1,live oysters,0,0,0
Single,End,1,1,Shade,bottom,right,pylon 1,dead oysters,58.0641,81.0185,22.9544
Single,End,1,1,Shade,bottom,right,pylon 1,other bivalves,0,0,0
Single,End,1,1,Shade,bottom,right,pylon 1,dead barnacles,4.0239,5.156,1.1321
Single,End,1,1,Shade,bottom,right,pylon 1,live barnacles,3.9741,6.5241,2.55
Single,End,1,1,Shade,bottom,right,pylon 1,ascidians,15.9197,25.2738,9.3541
Single,End,1,1,Shade,bottom,right,pylon 1,algae,4.0599,4.3381,0.2782
Single,End,1,1,Shade,bottom,right,pylon 1,sponge,15.9036,27.0718,11.1682
Single,End,1,1,Shade,bottom,right,pylon 1,bryozoans,4.0656,5.7671,1.7015
Single,End,1,1,Shade,bottom,right,pylon 1,anemone,0,0,0
Single,End,1,1,Shade,bottom,right,pylon 1,mobile invertebrates,0,0,0
Dual,End,1,1,Shade,bottom,left,pylon 1,soft worms,15.8047,19.7822,3.9775
Dual,End,1,1,Shade,bottom,left,pylon 1,hard worms,15.9959,30.5945,14.5986
Dual,End,1,1,Shade,bottom,left,pylon 1,live oysters,15.7037,17.6793,1.9756
Dual,End,1,1,Shade,bottom,left,pylon 1,dead oysters,59.545,79.0062,19.4612
Dual,End,1,1,Shade,bottom,left,pylon 1,other bivalves,0,0,0
Dual,End,1,1,Shade,bottom,left,pylon 1,dead barnacles,4.0567,4.7071,0.6504
Dual,End,1,1,Shade,bottom,left,pylon 1,live barnacles,0,0,0
Dual,End,1,1,Shade,bottom,left,pylon 1,ascidians,15.6042,38.2733,22.6691
Dual,End,1,1,Shade,bottom,left,pylon 1,algae,0,0,0
Dual,End,1,1,Shade,bottom,left,pylon 1,sponge,0,0,0
Dual,End,1,1,Shade,bottom,left,pylon 1,bryozoans,4.058,4.1057,0.0477
Dual,End,1,1,Shade,bottom,left,pylon 1,anemone,0,0,0
Dual,End,1,1,Shade,bottom,left,pylon 1,mobile invertebrates,15.8329,18.7645,2.9316
Dual,End,1,1,Shade,top,right,Pylon 1,soft worms,15.7616,19.7149,3.9533
Dual,End,1,1,Shade,top,right,Pylon 1,hard worms,15.9191,24.2307,8.3116
Dual,End,1,1,Shade,top,right,Pylon 1,live oysters,15.6954,18.8622,3.1668
Dual,End,1,1,Shade,top,right,Pylon 1,dead oysters,58.0618,93.3384,35.2766
Dual,End,1,1,Shade,top,right,Pylon 1,other bivalves,3.9952,4.558,0.5628
Dual,End,1,1,Shade,top,right,Pylon 1,live barnacles,15.9132,24.2849,8.3717
Dual,End,1,1,Shade,top,right,Pylon 1,dead barnacles,15.8989,20.8617,4.9628
Dual,End,1,1,Shade,top,right,Pylon 1,bryozoans,4.0616,4.5326,0.471
Dual,End,1,1,Shade,top,right,Pylon 1,anemone (add to soft worms),4.1713,4.1827,0.0114
Dual,End,1,1,Shade,top,right,Pylon 1,ascidians,58.0549,120.3366,62.2817
Dual,End,1,1,Shade,top,right,Pylon 1,sponge,15.7702,16.455,0.6848
Single,End,1,1,Shade,top,left,Pylon 1,soft worms,16.0636,21.7052,5.6416
Single,End,1,1,Shade,top,left,Pylon 1,hard worms,15.729,26.4441,10.7151
Single,End,1,1,Shade,top,left,Pylon 1,live oysters,16.0709,17.3383,1.2674
Single,End,1,1,Shade,top,left,Pylon 1,dead oysters,58.7713,91.2401,32.4688
Single,End,1,1,Shade,top,left,Pylon 1,other bivalves,0,0,0
Single,End,1,1,Shade,top,left,Pylon 1,dead barnacles,15.8608,18.6092,2.7484
Single,End,1,1,Shade,top,left,Pylon 1,live barnacles,15.9881,20.3266,4.3385
Single,End,1,1,Shade,top,left,Pylon 1,ascidians,58.7774,98.7866,40.0092
Single,End,1,1,Shade,top,left,Pylon 1,algae,0,0,0
Single,End,1,1,Shade,top,left,Pylon 1,sponge,16.0268,28.0174,11.9906
Single,End,1,1,Shade,top,left,Pylon 1,bryozoans,4.2302,4.5565,0.3263
Single,End,1,1,Shade,top,left,Pylon 1,anemone,0,0,0
Single,End,1,1,Shade,top,left,Pylon 1,mobile invertebrates,4.0894,4.2812,0.1918
Dual,Start,2,2,Shade,top,right,# 2,soft worms,15.913,17.2725,1.3595
Dual,Start,2,2,Shade,top,right,# 2,hard worms,15.8629,20.5487,4.6858
Dual,Start,2,2,Shade,top,right,# 2,live oysters,58.9682,64.9909,6.0227
Dual,Start,2,2,Shade,top,right,# 2,dead oysters,15.8512,18.3629,2.5117
Dual,Start,2,2,Shade,top,right,# 2,other bivalves,0,0,0
Dual,Start,2,2,Shade,top,right,# 2,dead barnacles,16.0125,17.5076,1.4951
Dual,Start,2,2,Shade,top,right,# 2,live barnacles,15.768,22.6237,6.8557
Dual,Start,2,2,Shade,top,right,# 2,ascidians,15.751,28.6543,12.9033
Dual,Start,2,2,Shade,top,right,# 2,algae,0,0,0
Dual,Start,2,2,Shade,top,right,# 2,sponge,0,0,0
Dual,Start,2,2,Shade,top,right,# 2,bryozoans,16.1554,17.1214,0.966
Dual,Start,2,2,Shade,top,right,# 2,anemone,0,0,0
Dual,Start,2,2,Shade,top,right,# 2,mobile invertebrates,0,0,0
Dual,Start,2,2,Shade,top,left,# 2,soft worms,15.7241,17.2525,1.5284
Dual,Start,2,2,Shade,top,left,# 2,hard worms,15.905,21.3183,5.4133
Dual,Start,2,2,Shade,top,left,# 2,live oysters,16.0604,17.9983,1.9379
Dual,Start,2,2,Shade,top,left,# 2,dead oysters,15.6979,18.0172,1.7771
Dual,Start,2,2,Shade,top,left,# 2,other bivalves,0,0,0
Dual,Start,2,2,Shade,top,left,# 2,dead barnacles,15.8467,17.6238,2.3193
Dual,Start,2,2,Shade,top,left,# 2,live barnacles,15.9343,19.821,3.8867
Dual,Start,2,2,Shade,top,left,# 2,ascidians,16.0406,20.4018,4.3612
Dual,Start,2,2,Shade,top,left,# 2,algae,0,0,0
Dual,Start,2,2,Shade,top,left,# 2,sponge,0,0,0
Dual,Start,2,2,Shade,top,left,# 2,bryozoans,15.9702,16.4141,0.4439
Dual,Start,2,2,Shade,top,left,# 2,anemone,0,0,0
Dual,Start,2,2,Shade,top,left,# 2,mobile invertebrates,4.0932,4.1072,0.014
Dual,End,2,2,Shade,top,left,pylon 2,soft worms,4.2511,5.8398,1.5887
Dual,End,2,2,Shade,top,left,pylon 2,hard worms,15.9876,23.0478,7.0602
Dual,End,2,2,Shade,top,left,pylon 2,live oysters,59.1929,72.7824,13.5895
Dual,End,2,2,Shade,top,left,pylon 2,dead oysters,58.1014,64.0049,5.9035
Dual,End,2,2,Shade,top,left,pylon 2,other bivalves,0,0,0
Dual,End,2,2,Shade,top,left,pylon 2,dead barnacles,15.9133,21.0053,5.092
Dual,End,2,2,Shade,top,left,pylon 2,live barnacles,15.9934,20.7947,4.8013
Dual,End,2,2,Shade,top,left,pylon 2,ascidians,15.7342,38.6675,22.9333
Dual,End,2,2,Shade,top,left,pylon 2,algae,4.0619,4.1046,0.0427
Dual,End,2,2,Shade,top,left,pylon 2,sponge,4.1293,4.625,0.4957
Dual,End,2,2,Shade,top,left,pylon 2,bryozoans,4.1958,5.4895,1.2937
Dual,End,2,2,Shade,top,left,pylon 2,anemone,0,0,0
Dual,End,2,2,Shade,top,left,pylon 2,mobile invertebrates,0,0,0
Single,End,2,2,Shade,bottom,left,pylon 2,soft worms,15.9984,23.1916,7.1932
Single,End,2,2,Shade,bottom,left,pylon 2,hard worms,15.8982,40.8917,24.9935
Single,End,2,2,Shade,bottom,left,pylon 2,live oysters,15.9439,23.7799,7.836
Single,End,2,2,Shade,bottom,left,pylon 2,dead oysters,59.2313,81.4721,22.2408
Single,End,2,2,Shade,bottom,left,pylon 2,other bivalves,0,,0
Single,End,2,2,Shade,bottom,left,pylon 2,dead barnacles,15.7977,17.4179,1.6202
Single,End,2,2,Shade,bottom,left,pylon 2,live barnacles,59.0377,77.5498,18.5121
Single,End,2,2,Shade,bottom,left,pylon 2,ascidians,15.9511,36.8571,20.906
Single,End,2,2,Shade,bottom,left,pylon 2,algae,4.1876,4.9707,0.7831
Single,End,2,2,Shade,bottom,left,pylon 2,sponge,0,,0
Single,End,2,2,Shade,bottom,left,pylon 2,bryozoans,15.8656,16.9511,1.0855
Single,End,2,2,Shade,bottom,left,pylon 2,anemone,0,,0
Single,End,2,2,Shade,bottom,left,pylon 2,mobile invertebrates,0,,0
Single,End,2,2,Shade,bottom,right,pylon 2,soft worms,4.0963,8.1499,4.0536
Single,End,2,2,Shade,bottom,right,pylon 2,hard worms,15.9568,36.9544,20.9976
Single,End,2,2,Shade,bottom,right,pylon 2,live oysters,15.9931,21.3136,5.3205
Single,End,2,2,Shade,bottom,right,pylon 2,dead oysters,58.7903,75.3091,16.5188
Single,End,2,2,Shade,bottom,right,pylon 2,other bivalves,0,0,0
Single,End,2,2,Shade,bottom,right,pylon 2,dead barnacles,16.1187,18.7894,2.6707
Single,End,2,2,Shade,bottom,right,pylon 2,live barnacles,15.7819,17.4571,1.6752
Single,End,2,2,Shade,bottom,right,pylon 2,ascidians,15.8661,23.6891,7.823
Single,End,2,2,Shade,bottom,right,pylon 2,algae,0,0,0
Single,End,2,2,Shade,bottom,right,pylon 2,sponge,4.1919,5.1462,0.9543
Single,End,2,2,Shade,bottom,right,pylon 2,bryozoans,15.8099,20.5437,4.7338
Single,End,2,2,Shade,bottom,right,pylon 2,anemone,4.1017,4.1555,0.0538
Single,End,2,2,Shade,bottom,right,pylon 2,mobile invertebrates,0,0,0
Dual,End,2,2,Shade,top,right,pylon 2,soft worms,15.8735,20.1324,4.2589
Dual,End,2,2,Shade,top,right,pylon 2,hard worms,15.7442,19.5146,3.7704
Dual,End,2,2,Shade,top,right,pylon 2,live oysters,58.9847,65.8927,6.908
Dual,End,2,2,Shade,top,right,pylon 2,dead oysters,58.2239,72.4296,14.2057
Dual,End,2,2,Shade,top,right,pylon 2,other bivalves,0,0,0
Dual,End,2,2,Shade,top,right,pylon 2,dead barnacles,15.8439,24.3645,8.5206
Dual,End,2,2,Shade,top,right,pylon 2,live barnacles,15.8777,18.2243,2.3466
Dual,End,2,2,Shade,top,right,pylon 2,ascidians,16.0527,29.535,13.4823
Dual,End,2,2,Shade,top,right,pylon 2,algae,0,0,0
Dual,End,2,2,Shade,top,right,pylon 2,sponge,0,0,0
Dual,End,2,2,Shade,top,right,pylon 2,bryozoans,4.1562,4.2948,0.1386
Dual,End,2,2,Shade,top,right,pylon 2,anemone,0,0,0
Dual,End,2,2,Shade,top,right,pylon 2,mobile invertebrates,0,0,0
Dual,Start,3,3,Small light,top,right,# 3,soft worms,4.096,5.1552,1.0592
Dual,Start,3,3,Small light,top,right,# 3,hard worms,4.0254,4.6497,0.6243
Dual,Start,3,3,Small light,top,right,# 3,live oysters,15.6824,18.3265,2.6441
Dual,Start,3,3,Small light,top,right,# 3,dead oysters,16.0917,18.6032,2.5115
Dual,Start,3,3,Small light,top,right,# 3,other bivalves,0,0,0
Dual,Start,3,3,Small light,top,right,# 3,dead barnacles,0,0,0
Dual,Start,3,3,Small light,top,right,# 3,live barnacles,0,0,0
Dual,Start,3,3,Small light,top,right,# 3,ascidians,59.0806,107.6339,48.5533
Dual,Start,3,3,Small light,top,right,# 3,algae,0,0,0
Dual,Start,3,3,Small light,top,right,# 3,sponge,0,0,0
Dual,Start,3,3,Small light,top,right,# 3,bryozoans,4.0592,7.4286,3.3694
Dual,Start,3,3,Small light,top,right,# 3,anemone,0,0,0
Dual,Start,3,3,Small light,top,right,# 3,mobile invertebrates,0,0,0
Dual,Start,3,3,Small light,top,left,# 3,soft worms,0,0,0
Dual,Start,3,3,Small light,top,left,# 3,hard worms,15.7523,32.8834,17.1311
Dual,Start,3,3,Small light,top,left,# 3,live oysters,16.0355,18.0233,1.9878
Dual,Start,3,3,Small light,top,left,# 3,dead oysters,15.8175,20.2086,4.3911
Dual,Start,3,3,Small light,top,left,# 3,other bivalves,4.1307,4.2329,0.1022
Dual,Start,3,3,Small light,top,left,# 3,dead barnacles,4.1473,4.9395,0.7922
Dual,Start,3,3,Small light,top,left,# 3,live barnacles,0,0,0
Dual,Start,3,3,Small light,top,left,# 3,ascidians,59.1395,76.9259,17.7864
Dual,Start,3,3,Small light,top,left,# 3,algae,0,0,0
Dual,Start,3,3,Small light,top,left,# 3,sponge,4.2116,5.4093,1.1977
Dual,Start,3,3,Small light,top,left,# 3,bryozoans,16.2393,20.5147,4.2754
Dual,Start,3,3,Small light,top,left,# 3,anemone,4.1363,4.2158,0.0795
Dual,Start,3,3,Small light,top,left,# 3,mobile invertebrates,0,0,0
Single,End,3,3,Small light,bottom,right,pylon 3,soft worms,4.2847,6.6637,2.379
Single,End,3,3,Small light,bottom,right,pylon 3,hard worms,15.9422,27.6184,11.6762
Single,End,3,3,Small light,bottom,right,pylon 3,live oysters,15.9169,17.0902,1.1733
Single,End,3,3,Small light,bottom,right,pylon 3,dead oysters,59.1227,90.3137,31.191
Single,End,3,3,Small light,bottom,right,pylon 3,other bivalves,0,0,0
Single,End,3,3,Small light,bottom,right,pylon 3,dead barnacles,0,0,0
Single,End,3,3,Small light,bottom,right,pylon 3,ascidians,0,0,0
Single,End,3,3,Small light,bottom,right,pylon 3,algae,4.1947,4.7242,0.5295
Single,End,3,3,Small light,bottom,right,pylon 3,sponge,4.1773,6.1017,1.9244
Single,End,3,3,Small light,bottom,right,pylon 3,bryozoans,4.2555,7.6454,3.3899
Single,End,3,3,Small light,bottom,right,pylon 3,anemone (add to soft worms),4.2022,4.2395,0.0373
Single,End,3,3,Small light,bottom,right,pylon 3,mobile invertebrates,0,,0
Dual,End,3,3,Small light,top,left,pylon 3,soft worms,4.1665,4.8047,0.6382
Dual,End,3,3,Small light,top,left,pylon 3,hard worms,16.1457,28.2565,12.1108
Dual,End,3,3,Small light,top,left,pylon 3,live oysters,0,0,0
Dual,End,3,3,Small light,top,left,pylon 3,dead oysters,59.2534,165.5365,106.2831
Dual,End,3,3,Small light,top,left,pylon 3,other bivalves,0,0,0
Dual,End,3,3,Small light,top,left,pylon 3,dead barnacles,4.3321,4.5092,0.1771
Dual,End,3,3,Small light,top,left,pylon 3,ascidians,15.9385,18.2827,2.3442
Dual,End,3,3,Small light,top,left,pylon 3,algae,4.2129,5.0576,0.8447
Dual,End,3,3,Small light,top,left,pylon 3,sponge,0,0,0
Dual,End,3,3,Small light,top,left,pylon 3,bryozoans,16.165,17.6393,1.4743
Dual,End,3,3,Small light,top,left,pylon 3,anemone (add to soft worms),4.1622,4.29,0.1278
Dual,End,3,3,Small light,top,left,pylon 3,mobile invertebrates,4.3621,5.0451,0.683
Dual,End,3,3,Small light,top,right,pylon 3,soft worms,15.8017,17.9827,2.181
Dual,End,3,3,Small light,top,right,pylon 3,hard worms,15.8245,25.1665,9.342
Dual,End,3,3,Small light,top,right,pylon 3,live oysters,16.0534,19.7205,3.6671
Dual,End,3,3,Small light,top,right,pylon 3,dead oysters,58.2863,102.9761,44.6898
Dual,End,3,3,Small light,top,right,pylon 3,other bivalves,0,0,0
Dual,End,3,3,Small light,top,right,pylon 3,dead barnacles,15.9288,18.2007,2.2719
Dual,End,3,3,Small light,top,right,pylon 3,ascidians,15.6976,17.8537,2.1561
Dual,End,3,3,Small light,top,right,pylon 3,algae,15.797,15.9451,0.1481
Dual,End,3,3,Small light,top,right,pylon 3,sponge,15.8301,17.084,1.2539
Dual,End,3,3,Small light,top,right,pylon 3,bryozoans,15.8659,19.9934,4.1275
Dual,End,3,3,Small light,top,right,pylon 3,anemone,0,0,0
Dual,End,3,3,Small light,top,right,pylon 3,mobile invertebrates,15.8456,15.9414,0.0958
Single,End,3,3,Small light,bottom,left,pylon 3,soft worms,15.9072,17.4833,1.5761
Single,End,3,3,Small light,bottom,left,pylon 3,hard worms,16.0871,18.8968,2.8097
Single,End,3,3,Small light,bottom,left,pylon 3,live oysters,0,0,0
Single,End,3,3,Small light,bottom,left,pylon 3,dead oysters,59.3501,83.4208,24.0707
Single,End,3,3,Small light,bottom,left,pylon 3,other bivalves,0,0,0
Single,End,3,3,Small light,bottom,left,pylon 3,dead barnacles,15.7561,16.3331,0.577
Single,End,3,3,Small light,bottom,left,pylon 3,ascidians,0,0,0
Single,End,3,3,Small light,bottom,left,pylon 3,algae,16.0214,19.3508,3.3294
Single,End,3,3,Small light,bottom,left,pylon 3,sponge,15.9777,22.9499,6.9722
Single,End,3,3,Small light,bottom,left,pylon 3,bryozoans,0,0,0
Single,End,3,3,Small light,bottom,left,pylon 3,anemone,0,0,0
Single,End,3,3,Small light,bottom,left,pylon 3,mobile invertebrates,0,0,0
Dual,Start,4,4,Large light,top,right,#4,soft worms,4.0868,5.4322,1.3454
Dual,Start,4,4,Large light,top,right,#4,hard worms,15.668,21.1408,5.4728
Dual,Start,4,4,Large light,top,right,#4,live oysters,15.6681,17.87989,2.21179
Dual,Start,4,4,Large light,top,right,#4,dead oysters,15.8874,19.4571,3.5697
Dual,Start,4,4,Large light,top,right,#4,other bivalves,0,0,0
Dual,Start,4,4,Large light,top,right,#4,dead barnacles,4.1683,4.2199,0.0516
Dual,Start,4,4,Large light,top,right,#4,live barnacles,0,0,0
Dual,Start,4,4,Large light,top,right,#4,ascidians,15.7877,22.3843,6.5966
Dual,Start,4,4,Large light,top,right,#4,algae,0,0,0
Dual,Start,4,4,Large light,top,right,#4,sponge,4.1302,5.186,1.0558
Dual,Start,4,4,Large light,top,right,#4,bryozoans,15.9319,21.3315,5.3996
Dual,Start,4,4,Large light,top,right,#4,anemone,0,0,0
Dual,Start,4,4,Large light,top,right,#4,mobile invertebrates,4.0662,5.2071,1.1409
Dual,Start,4,4,Large light,bottom,left,#4,soft worms,4.0326,8.4472,4.4146
Dual,Start,4,4,Large light,bottom,left,#4,hard worms,15.7623,24.4441,8.6818
Dual,Start,4,4,Large light,bottom,left,#4,live oysters,15.841,19.5708,3.7298
Dual,Start,4,4,Large light,bottom,left,#4,dead oysters,59.0734,64.359,5.2856
Dual,Start,4,4,Large light,bottom,left,#4,other bivalves,0,0,0
Dual,Start,4,4,Large light,bottom,left,#4,dead barnacles,4.0482,4.9805,0.9323
Dual,Start,4,4,Large light,bottom,left,#4,live barnacles,0,0,0
Dual,Start,4,4,Large light,bottom,left,#4,ascidians,59.0562,84.2876,25.2314
Dual,Start,4,4,Large light,bottom,left,#4,algae,0,0,0
Dual,Start,4,4,Large light,bottom,left,#4,sponge,16.0701,25.0699,8.9998
Dual,Start,4,4,Large light,bottom,left,#4,bryozoans,15.8711,21.3503,5.4792
Dual,Start,4,4,Large light,bottom,left,#4,anemone,0,0,0
Dual,Start,4,4,Large light,bottom,left,#4,mobile invertebrates,15.819,16.9879,1.1689
Dual,Start,4,4,Large light,bottom,left,#4,mystery ribbon,4.211,4.8989,0.6879
Single,End,4,4,Large light,bottom,right,pylon 4,soft worms,16.0544,22.4374,6.383
Single,End,4,4,Large light,bottom,right,pylon 4,hard worms,15.759,26.5936,10.8346
Single,End,4,4,Large light,bottom,right,pylon 4,live oysters,0,0,0
Single,End,4,4,Large light,bottom,right,pylon 4,dead oysters,59.4116,91.3287,31.9171
Single,End,4,4,Large light,bottom,right,pylon 4,other bivalves,17.6856,17.7263,0.0407
Single,End,4,4,Large light,bottom,right,pylon 4,dead barnacles,15.8031,16.117,0.3139
Single,End,4,4,Large light,bottom,right,pylon 4,live barnacles,15.8035,22.1136,6.3101
Single,End,4,4,Large light,bottom,right,pylon 4,ascidians,15.8468,17.781,0.3184
Single,End,4,4,Large light,bottom,right,pylon 4,algae,15.8555,16.1652,0.1
Single,End,4,4,Large light,bottom,right,pylon 4,sponge,15.8399,15.9555,0.1156
Single,End,4,4,Large light,bottom,right,pylon 4,bryozoans,15.6543,21.0345,5.3802
Single,End,4,4,Large light,bottom,right,pylon 4,anemone,0,0,0
Single,End,4,4,Large light,bottom,right,pylon 4,mobile invertebrates,0,0,0
Single,End,4,4,Large light,top,left,pylon 4,soft worms,15.7042,21.0707,5.3665
Single,End,4,4,Large light,top,left,pylon 4,hard worms,15.6701,32.0024,16.3323
Single,End,4,4,Large light,top,left,pylon 4,live oysters,15.8069,15.9783,0.1714
Single,End,4,4,Large light,top,left,pylon 4,dead oysters,59.1252,79.9563,20.8311
Single,End,4,4,Large light,top,left,pylon 4,other bivalves,0,0,0
Single,End,4,4,Large light,top,left,pylon 4,dead barnacles,0,0,0
Single,End,4,4,Large light,top,left,pylon 4,live barnacles,0,0,0
Single,End,4,4,Large light,top,left,pylon 4,ascidians,0,0,0
Single,End,4,4,Large light,top,left,pylon 4,algae,15.8141,16.711,0.8969
Single,End,4,4,Large light,top,left,pylon 4,sponge,15.8649,17.4302,1.5653
Single,End,4,4,Large light,top,left,pylon 4,bryozoans,15.755,15.7898,0.0348
Single,End,4,4,Large light,top,left,pylon 4,anemone,0,0,0
Single,End,4,4,Large light,top,left,pylon 4,mobile invertebrates,15.7337,15.7568,0.0231
Dual,End,4,4,Large light,bottom,left,pylon 4,soft worms,16.4035,20.5059,4.1024
Dual,End,4,4,Large light,bottom,left,pylon 4,hard worms,15.6455,24.6413,8.9958
Dual,End,4,4,Large light,bottom,left,pylon 4,live oysters,15.9996,16.3634,0.3638
Dual,End,4,4,Large light,bottom,left,pylon 4,dead oysters,15.8862,18.1476,2.2614
Dual,End,4,4,Large light,bottom,left,pylon 4,other bivalves,0,0,0
Dual,End,4,4,Large light,bottom,left,pylon 4,dead barnacles,15.896,16.1127,0.2167
Dual,End,4,4,Large light,bottom,left,pylon 4,live barnacles,0,0,0
Dual,End,4,4,Large light,bottom,left,pylon 4,ascidians,15.8731,20.4521,4.579
Dual,End,4,4,Large light,bottom,left,pylon 4,algae,15.8475,16.5795,0.732
Dual,End,4,4,Large light,bottom,left,pylon 4,sponge,15.7418,15.9664,0.2246
Dual,End,4,4,Large light,bottom,left,pylon 4,bryozoans,15.8362,16.4616,0.6254
Dual,End,4,4,Large light,bottom,left,pylon 4,anemone,0,0,0
Dual,End,4,4,Large light,bottom,left,pylon 4,mobile invertebrates,15.8114,15.8228,0.0114
Dual,End,4,4,Large light,top,right,pylon 4,soft worms,15.7909,16.4021,0.6112
Dual,End,4,4,Large light,top,right,pylon 4,hard worms,15.6477,20.2444,4.5967
Dual,End,4,4,Large light,top,right,pylon 4,live oysters,0,0,0
Dual,End,4,4,Large light,top,right,pylon 4,dead oysters,59.7838,99.309,39.5252
Dual,End,4,4,Large light,top,right,pylon 4,other bivalves,0,0,0
Dual,End,4,4,Large light,top,right,pylon 4,dead barnacles,0,0,0
Dual,End,4,4,Large light,top,right,pylon 4,live barnacles,0,0,0
Dual,End,4,4,Large light,top,right,pylon 4,ascidians,15.9242,21.1315,5.2073
Dual,End,4,4,Large light,top,right,pylon 4,algae,0,0,0
Dual,End,4,4,Large light,top,right,pylon 4,sponge,0,0,0
Dual,End,4,4,Large light,top,right,pylon 4,bryozoans,15.832,15.9412,0.1092
Dual,End,4,4,Large light,top,right,pylon 4,anemone,0,0,0
Dual,End,4,4,Large light,top,right,pylon 4,mobile invertebrates,15.7846,16.0715,0.2869
Dual,Start,5,5,Small light,bottom,left,# 5,soft worms,4.0901,7.0774,2.9873
Dual,Start,5,5,Small light,bottom,left,# 5,hard worms,4.0692,5.8859,1.8167
Dual,Start,5,5,Small light,bottom,left,# 5,live oysters,16.0853,18.3378,2.2525
Dual,Start,5,5,Small light,bottom,left,# 5,dead oysters,4.0087,4.1008,0.0921
